SAMPLE_ID,PROTOCOL_NAME,SAMPLE_DATA_TYPE,TOX21_ID_x,SAMPLE_NAME_x,CAS_x,ASSAY_OUTCOME,CHANNEL_OUTCOME,AC50,EFFICACY,PUBCHEM_SID_x,PURITY,PURITY_RATING_x,REPRODUCIBILITY,CURVE_RANK,FLAG,FLAG    ,TOX21_ID_y,CAS_y,PUBCHEM_SID_y,SAMPLE_NAME_y,PURITY_RATING_y,PURITY_RATING_4M,PUBCHEM_CID,LAST_MODIFIED,SMILES
NCGC00255047-01,tox21-gr-hela-bla-antagonist-p1,activity,Tox21_301149,Benzocaine,94-09-7,inactive,inactive,0.0,144211466.0,A,inactive_match,0,,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
NCGC00255047-01,tox21-pparg-bla-agonist-p1,activity,Tox21_301149,Benzocaine,94-09-7,inactive,inactive,0.0,144211466.0,A,inactive_match,-0.66667,,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
NCGC00255047-01,tox21-ppard-bla-antagonist-p1,activity,Tox21_301149,Benzocaine,94-09-7,inactive,inactive,0.0,144211466.0,A,inactive_match,0,,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
NCGC00255047-01,tox21-er-bla-antagonist-p1,activity,Tox21_301149,Benzocaine,94-09-7,active antagonist,active antagonist,43.6411864487,-40.21297708,144211466,A,active_match,-2,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
NCGC00255047-01,tox21-rxr-bla-agonist-p1,activity,Tox21_301149,Benzocaine,94-09-7,inactive,inactive,0.0,144211466.0,A,inactive_match,0,,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
NCGC00255047-01,tox21-pparg-bla-antagonist-p1,activity,Tox21_301149,Benzocaine,94-09-7,inconclusive antagonist,inconclusive antagonist,10.962170402,-39.5394780799,144211466,A,inconclusive,-3.33333,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
NCGC00255047-01,tox21-fxr-bla-antagonist-p1,activity,Tox21_301149,Benzocaine,94-09-7,inactive,inactive,0.0,144211466.0,A,inactive_match,0,,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
NCGC00255047-01,tox21-fxr-bla-agonist-p2,activity,Tox21_301149,Benzocaine,94-09-7,inactive,inactive,0.0,144211466.0,A,inactive_match,0,,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
NCGC00255047-01,tox21-vdr-bla-antagonist-p1,activity,Tox21_301149,Benzocaine,94-09-7,inactive,inactive,0.0,144211466.0,A,inactive_match,0,,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
NCGC00255047-01,tox21-er-bla-agonist-p2,activity,Tox21_301149,Benzocaine,94-09-7,inactive,inactive,0.0,144211466.0,A,inactive_match,0,,,,,Tox21_301149,94-09-7,144211466,Benzocaine,A,A,2337,16-JAN-19 01.02.54.000000000 PM,Nc1ccc(cc1)C(=O)OCC
