	gr
4793	0.0
5282379	1.0
3325	0.0
107930	0.0
3955	0.0
6166	0.0
5283389	0.0
941361	0.0
15387	0.0
60961	0.0
3295	0.0
16362	1.0
8969	0.0
3627	0.0
3715	0.0
3365	0.0
9642	1.0
2762	0.0
27400	0.0
64961	0.0
3031	0.0
19529	0.0
3689	0.0
5994	0.0
8362	0.0
3475	0.0
5362	0.0
2477	0.0
5280343	0.0
5578	0.0
71815	0.0
41368	0.0
39385	0.0
2343	0.0
2264	0.0
5284596	0.0
123606	0.0
3016	0.0
2801	0.0
3899	0.0
5375199	0.0
5503	0.0
4114	0.0
3718	0.0
1318	1.0
2078	0.0
5216	0.0
2284	0.0
5152	0.0
445154	0.0
5074	1.0
10621	0.0
2075	0.0
47528	0.0
5387	0.0
10783	0.0
3396	0.0
5917	0.0
4671	0.0
3442	0.0
4937	0.0
1892	0.0
3647	0.0
2519	0.0
3825	0.0
5656	0.0
68186	0.0
5610	0.0
3883	0.0
31101	0.0
3151	0.0
13109	0.0
9415	0.0
2453	1.0
854026	0.0
3440	0.0
2083	0.0
3059	0.0
222757	0.0
4747	0.0
54676537	0.0
5253	0.0
2153	0.0
8593	0.0
5920	0.0
5332	0.0
37175	1.0
3828	0.0
2726	0.0
3559	0.0
2119	0.0
2788	1.0
179651	1.0
91610	0.0
4474	1.0
4418	0.0
72276	0.0
54746	0.0
5070	0.0
3086618	0.0
8433	0.0
82153	1.0
2374	0.0
5319	0.0
44093	0.0
5757	1.0
6839	0.0
2482	0.0
2391	0.0
4993	0.0
4943	0.0
4021	0.0
43231	0.0
4883	0.0
2120	0.0
3038	0.0
2337	0.0
5090	0.0
5280360	0.0
2723	0.0
2122	0.0
3932	0.0
2799	1.0
2741	0.0
4614	0.0
3074	0.0
5952	0.0
4753	0.0
43815	0.0
104845	0.0
2286	0.0
5593	0.0
5833	1.0
5334	0.0
71414	1.0
1687	1.0
5282493	1.0
48229	0.0
2913	0.0
2950	0.0
1359	0.0
2540	1.0
3735	0.0
107867	0.0
5327	0.0
5278	0.0
5282443	0.0
5320	0.0
60703	0.0
5475	0.0
2347	0.0
7184	0.0
6738	0.0
667476	0.0
1983	0.0
2520	0.0
92786	0.0
2247	1.0
5092	0.0
3169	0.0
5694	0.0
127404	0.0
5355	0.0
4500	0.0
2756	0.0
5865	0.0
8226	0.0
5995	0.0
21700	1.0
3712	0.0
1486	0.0
5284373	0.0
5280378	0.0
1979	0.0
6293	0.0
62389	0.0
10208	0.0
5359	0.0
3100	0.0
6291	0.0
2733526	1.0
36811	0.0
15459	0.0
107715	0.0
54676038	0.0
5505	0.0
4911	0.0
2720	0.0
4636	0.0
107807	0.0
5753	1.0
442972	0.0
5311100	0.0
16351	0.0
338	0.0
2157	0.0
4828	0.0
2206	0.0
2145	0.0
5732	1.0
43507	0.0
39912	0.0
2812	0.0
3114	0.0
2355	0.0
4169	0.0
4632	0.0
610479	1.0
2603	0.0
101616	0.0
456201	1.0
2733	0.0
1981	0.0
3371	0.0
9681	0.0
3333	0.0
3671	0.0
2406	0.0
70912	0.0
33624	0.0
4567	0.0
6005	0.0
3033769	0.0
5543	0.0
5282593	0.0
50287	0.0
19003	0.0
3182	0.0
20525	0.0
2126	1.0
4100	0.0
72124	0.0
9324	0.0
4679	0.0
5754	1.0
65909	0.0
443944	0.0
5053	0.0
4933	0.0
5734	0.0
6230	0.0
4740	0.0
15443	0.0
9651	0.0
1989	0.0
2265	0.0
2727	0.0
93504	0.0
2562	0.0
4168	0.0
448537	1.0
5479	0.0
3108	0.0
10168	0.0
5468	0.0
5546	1.0
4909	0.0
3503	1.0
5870	0.0
5282138	0.0
65981	1.0
4528	0.0
5315	0.0
60910	0.0
24733	0.0
5311304	0.0
2256	0.0
223368	1.0
5510	0.0
9051	1.0
6634	0.0
3356	0.0
5094	0.0
72139	0.0
2662	1.0
4495	0.0
3037	1.0
27200	0.0
5073	0.0
4992	0.0
9687	0.0
3058754	0.0
4929	0.0
2910	0.0
39042	0.0
108092	0.0
4107	0.0
4189	0.0
3326	0.0
69301	0.0
33255	0.0
5338	0.0
4754	0.0
441383	0.0
171548	0.0
54676478	0.0
6009	0.0
4507	1.0
68093	0.0
4913	0.0
15209	1.0
2955	0.0
667466	0.0
3042	0.0
4165	0.0
3036	1.0
3082	0.0
3341	0.0
4977	0.0
64782	0.0
3242	0.0
2435	0.0
68844	0.0
5323714	0.0
15723	0.0
4044	1.0
4197	0.0
4893	0.0
441336	1.0
9782	1.0
3516	0.0
5707	0.0
17134	0.0
5035	1.0
5280863	0.0
3830	0.0
2554	1.0
54454	1.0
4932	0.0
3878	0.0
3476	0.0
170344	0.0
5478883	0.0
5336	0.0
2315	0.0
4849	1.0
5905	0.0
5265	0.0
56971	0.0
443955	0.0
3397	0.0
4748	0.0
3634	1.0
6780	0.0
3702	0.0
5775	0.0
2717	0.0
122077	0.0
4847	0.0
5342	0.0
5329	0.0
2336	1.0
1547484	0.0
2159	0.0
65552	0.0
5340	0.0
11289	0.0
4078	0.0
54459	1.0
3002119	1.0
2755	0.0
174174	0.0
5280934	0.0
2775	0.0
3728	1.0
3696	0.0
5430	0.0
3902	0.0
4806	0.0
3742	0.0
5472	0.0
6466	0.0
3926	0.0
688272	0.0
3335	0.0
236702	1.0
4767	0.0
2130	0.0
114811	0.0
7181	0.0
5146	0.0
3969	0.0
1986	0.0
5426	0.0
4831	0.0
2724	0.0
1345	0.0
31307	1.0
6024	0.0
7504	0.0
2170	0.0
5743	1.0
323	0.0
5388962	0.0
54477	0.0
2446	0.0
156391	0.0
4994	0.0
896	0.0
5756	0.0
3739	0.0
3386	0.0
65889	0.0
8113	0.0
3117	0.0
697993	0.0
4487	0.0
4904	0.0
34040	0.0
643606	0.0
247839	1.0
6231	0.0
5374	0.0
6093	0.0
3759	0.0
644213	0.0
71771	0.0
4106	1.0
71277	1.0
5379	0.0
222786	0.0
5475158	0.0
5042	0.0
57364	0.0
35370	0.0
3760	1.0
8569	0.0
2448	0.0
6307	0.0
2763	0.0
969516	0.0
5755	1.0
5585	0.0
5819	0.0
3120	0.0
6714002	1.0
221071	0.0
445580	0.0
2378	1.0
3168	0.0
28417	0.0
5323	0.0
1480	0.0
31072	0.0
1775	0.0
5280723	0.0
16231	0.0
2471	0.0
2333	0.0
16363	0.0
2797	0.0
31772	0.0
3676	0.0
2230	0.0
5328	0.0
5280567	1.0
5910	0.0
5281881	0.0
3324	0.0
4848	0.0
5280933	0.0
4201	0.0
71777	0.0
441199	0.0
193949	0.0
4493	0.0
4173	0.0
8588	0.0
4595	0.0
68848	0.0
3339	0.0
5453	0.0
6741	1.0
40632	0.0
57363	0.0
3822	0.0
4621	0.0
3019	0.0
854019	0.0
12124	0.0
1674	0.0
3488	0.0
5335	0.0
3784	0.0
2328	0.0
5283344	0.0
6769	1.0
2310	0.0
2377	0.0
54678486	0.0
5639	0.0
27648	0.0
3352	0.0
4583	0.0
5095	0.0
9878	1.0
4236	0.0
3478	0.0
4891	0.0
98613	0.0
3672	0.0
5284616	0.0
1533	0.0
8609	0.0
