set	receptor	MCC	balanced acc	AUC
test	vdr	0.14236476320250874	0.5402912621359224	0.5402912621359224
train	vdr	0.8956685895029601	0.9691358024691359	0.9691358024691359
test	ar	0.2025810035792816	0.596551724137931	0.596551724137931
train	ar	0.6959121914769065	0.8579562708776192	0.8579562708776192
test	rxr	0.20585418145427184	0.5757286192068801	0.5757286192068801
train	rxr	0.7714889553589851	0.9014677276746242	0.9014677276746242
test	gr	0.4085406872840402	0.6732190860215054	0.6732190860215054
train	gr	0.8252460905218435	0.9181550476922092	0.9181550476922092
test	pparg	0.25958332915908805	0.6069983818770227	0.6069983818770227
train	pparg	0.842693520234685	0.9342307692307692	0.9342307692307691
test	fxr	0.12993634015838235	0.5470324748040314	0.5470324748040314
train	fxr	0.8754287085064182	0.9557889404154164	0.9557889404154164
test	ppard	0.18479786685858565	0.5679768041237113	0.5679768041237113
train	ppard	0.8372888405068405	0.9457467197405278	0.9457467197405277
test	er	0.11979205289545623	0.5507686084142395	0.5507686084142395
train	er	0.7813014795658664	0.8928953399541635	0.8928953399541635
