set	receptor	MCC	balanced acc	AUC
test	vdr	-0.00852752011909682	0.49649859943977587	0.4964985994397759
train	vdr	0.792726780096348	0.8863984052663298	0.8863984052663297
test	ar	0.3398010517837141	0.6577215189873418	0.6577215189873418
train	ar	0.5409304411957426	0.7520965876229033	0.7520965876229033
test	rxr	0.21737311106511106	0.6285946825827455	0.6285946825827454
train	rxr	0.5190765736284871	0.7873845695561513	0.7873845695561514
test	gr	0.4294669879152977	0.7050528789659225	0.7050528789659224
train	gr	0.7044131263845214	0.8407333599043444	0.8407333599043444
test	pparg	0.13059709280589155	0.5582386363636364	0.5582386363636364
train	pparg	0.7476687061119852	0.9061522419186653	0.9061522419186652
test	fxr	0.2901347184068575	0.6711956521739131	0.6711956521739131
train	fxr	0.38916966321895446	0.7516017316017316	0.7516017316017317
test	ppard	0.13054377088594013	0.5775577557755776	0.5775577557755776
train	ppard	0.45745947219245225	0.7871000464939346	0.7871000464939345
test	er	0.4552830822165347	0.7161616161616162	0.7161616161616161
train	er	0.6605791340514273	0.8462629384247402	0.8462629384247402
