set	receptor	MCC	balanced acc	AUC
test	fxr	0.0	0.5	0.5
train	fxr	0.9158091475614308	0.946208328245207	0.9462083282452071
test	gr	0.3116666961247679	0.6840866290018832	0.6840866290018832
train	gr	0.7551882453969871	0.9058238636363636	0.9058238636363636
test	er	0.0	0.5	0.5
train	er	0.989424797186237	0.9905660377358491	0.9905660377358491
test	ar	0.04453346145441136	0.5200854700854701	0.5200854700854701
train	ar	0.7839017894469744	0.9185462644259972	0.9185462644259971
test	vdr	0.0	0.5	0.5
train	vdr	0.9671322699539122	0.96875	0.96875
test	ppard	0.0	0.5	0.5
train	ppard	1.0	1.0	1.0
test	pparg	0.2631978228332191	0.6202139639639639	0.6202139639639639
train	pparg	0.7900806050720137	0.9163144010424944	0.9163144010424943
