set	receptor	MCC	balanced acc	AUC
test	fxr	0.4092237955355674	0.5909090909090909	0.5909090909090909
train	fxr	0.8679428283733631	0.9943693693693694	0.9943693693693694
test	gr	0.3527446730077527	0.6914414414414414	0.6914414414414415
train	gr	0.4121977460740742	0.7278508771929825	0.7278508771929825
test	er	0.549867416781888	0.7491228070175439	0.7491228070175437
train	er	0.6660400129255303	0.8245038510126736	0.8245038510126736
test	ar	0.5272256356506433	0.7323008849557522	0.7323008849557522
train	ar	0.6745362802349705	0.8319099378881987	0.8319099378881987
test	vdr	-0.04504504504504504	0.4774774774774775	0.4774774774774775
train	vdr	0.37725758136389687	0.7354910714285714	0.7354910714285715
test	ppard	-0.06279229382115711	0.4336283185840708	0.4336283185840708
train	ppard	0.23813480547138585	0.676414373088685	0.6764143730886849
test	pparg	0.12336307988525293	0.542942494398805	0.542942494398805
train	pparg	0.6404210328846756	0.8426339285714286	0.8426339285714286
